Title,Views,Posted
🌙 Meditación Guiada: DUERME PROFUNDAMENTE- Rutina de Noche- Mindfulness en español 😴,339 k vistas,hace 1 año
Meditación Guiada Mindfulness para cultivar la GRATITUD | Mindful Science,335 k vistas,hace 2 años
Tu corazón posee su propia inteligencia (HAZ ESTO para liberarla),335 k vistas,hace 4 años
MEDITACIÓN GUIADA PARA SANAR A TU NIÑO INTERIOR | MINDFUL SCIENCE,323 k vistas,hace 2 años
MEDITACIÓN GUIADA: CONECTA CON TU SUEÑO| MINDFUL SCIENCE,318 k vistas,hace 2 años
MEDITACIÓN GUIADA: UN CORAZÓN EN CALMA | MINDFUL SCIENCE,297 k vistas,hace 2 años
Qué es la Mente de Mono y cómo salir del pensamiento ansioso| Mindful Science,293 k vistas,hace 3 años
Mejora tu AUTOESTIMA en menos de un mes,283 k vistas,hace 3 años
Cambia tu vida en 5 minutos al día con el Diario de Gratitud | Mindful Science,283 k vistas,hace 4 años
🎧Meditación guiada: Gratitud para finalizar el día,275 k vistas,hace 3 meses
Meditación Guiada Mindfulness: Suelta las exigencias. Céntrate en Ti | Mindful Science.,272 k vistas,hace 2 años
La ciencia del perdón: por qué el rencor nos resta salud y el perdón nos sana | Mindful Science,269 k vistas,hace 3 años
🎧 MEDITACIÓN GUIADA: MINDFULNESS PARA DESARROLLAR CONSCIENCIA PLENA SOBRE TUS PENSAMIENTOS |,251 k vistas,hace 2 años
MEDITACIÓN GUIADA PARA SANAR TUS EMOCIONES| MINDFULNESS | MINDFUL SCIENCE,247 k vistas,hace 2 años
"MEDITACIÓN guiada: Observar, pero no juzgar. Dejar ir. | Mindful Science",240 k vistas,hace 3 años
MEDITACIÓN GUIADA MINDFULNESS: DISFRUTA EL MOMENTO PRESENTE | MINDFUL SCIENCE,226 k vistas,hace 2 años
Relajación Profunda~LA MEJOR MEDITACIÓN para RELAJAR TU MENTE Y CUERPO y descansar profundamente.,225 k vistas,hace 5 meses
🎧 Cambia el diálogo interno y conviértete en TU MEJOR ALIADO| Mindfulness Meditación,222 k vistas,hace 2 años
Visualización Creativa Meditación Guiada| Mindful Science,218 k vistas,hace 3 años
🎧Meditación Guiada: REDUCE EL ESTRÉS y la ansiedad prestando atención a tu cuerpo y a los sonidos💫,211 k vistas,hace 1 año
MEDITACIÓN GUIADA: GRATITUD POR TI | MINDFULNESS | MINDFUL SCIENCE,196 k vistas,hace 2 años
Elimina el ESTRÉS y alivia la ANSIEDAD con esta Meditación GUIADA MINDFULNESS/ Mindful Science [🎧8D],195 k vistas,hace 2 años
🎧REPROGRAMACIÓN MENTAL: CAMBIA tu diálogo interno. MEJORA la relación contigo mismo. Mindful Science,193 k vistas,hace 1 año
🎧MEDITACIÓN MINDFULNESS: EL MEJOR EJERCICIO PARA REDUCIR TU ANSIEDAD Y ESTRÉS/RESPIRACIÓN CONSCIENTE,190 k vistas,hace 2 años
La neurociencia del Estrés y de la Ansiedad ¿Cómo crear un cerebro optimista? | Mindful Science,185 k vistas,hace 3 años
🎧Meditación Guiada: RELAJA TU MENTE- EXPLORA TU SER -Más allá del Cuerpo- Mindfulness #inspiraAotros,181 k vistas,hace 11 meses
🎧CAMBIA TU CEREBRO CON AFIRMACIONES POSITIVAS: MEDITACIÓN GUIADA | Mindfulness | Mindful Science,179 k vistas,hace 2 años
🎧Meditación Guiada: Confianza y Fortaleza Interior- Mindfulness en español-Atención Plena,178 k vistas,hace 1 año
🎧MEDITACIÓN DE LA MAÑANA: Comienza el día lleno energía positiva y entusiasmo~Mindful Science~,177 k vistas,hace 4 meses
🎧Música Sanadora PARA LOGRAR UN SUEÑO PROFUNDO Y REPARADOR | Mindful Science,174 k vistas,hace 3 años
La ciencia de la visualización | Práctica mente-cuerpo| Creación Consciente| Mindful Science,169 k vistas,hace 4 años
🎧MEDITACIÓN GUIADA PARA CONECTAR CON TU CORAZÓN | MINDFUL SCIENCE,164 k vistas,hace 2 años
🎧DUERME: Calma tu mente agitada y logra una RELAJACIÓN PROFUNDA antes de dormir| Mindfulness,164 k vistas,hace 2 años
"Meditación GUIADA: No te rindas, no estás sólo.| Mindful Science",162 k vistas,hace 2 años
Meditación Guiada PARA DORMIR ~Mindfulness~ Mindful Science/ Duerme mejor escuchando esta meditación,162 k vistas,hace 6 meses
🎧Meditación Guiada: Consciencia Plena y PROSPERIDAD-Meditación para conectar con el MERECIMIENTO🌞,162 k vistas,hace 1 año
COMIENZA TU MAÑANA con una ACTITUD POSITIVA ~Meditación Guiada~,156 k vistas,hace 2 meses
La MEJOR Meditación Guiada para cultivar el AMOR PROPIO y LA GRATITUD POR TI ~Nayla Funes [AUDIO 8D],153 k vistas,hace 2 años
Micromeditación de 1 minuto guiada | Meditaciones originales de Mindful Science,148 k vistas,hace 3 años
🎧Meditación guiada: Confianza para avanzar a lo nuevo/Mindfulness en español,146 k vistas,hace 1 año
¿Cómo cambiar tus creencias limitantes? | Mindful Science,146 k vistas,hace 3 años
"🎧Meditación Guiada: Paseo por el bosque | Agradece, Bendice, Ama y Suelta| Mindful Science.",142 k vistas,hace 2 años
MEDITACIÓN GUIADA: EXPANDE TU LUZ | MINDFUL SCIENCE,141 k vistas,hace 2 años
¿CÓMO FUNCIONA MINDFUL SCIENCE? | CREA TU CUENTA,138 k vistas,hace 2 años
🎧Meditación Guiada: CREA TU REALIDAD siguiendo esta meditación~Sintoniza con nuevas posibilidades~,137 k vistas,hace 10 meses
MEDITACIÓN GUIADA: UN MAÑANA-GRATITUD POR LO QUE VENDRÁ | MINDFUL SCIENCE,133 k vistas,hace 2 años
🎧Conviértete en TU MEJOR COMPAÑÍA practicando esta MEDITACIÓN GUIADA | Mindfulness| Mindful Science,131 k vistas,hace 2 años
MEDITACIÓN GUIADA: PARA CERRAR CICLOS | MINDFUL SCIENCE,130 k vistas,hace 2 años
🎧SALIR DE LA INCERTIDUMBRE y ALIVIAR LA ANSIEDAD/ Meditación Guiada/ Mindful Science,130 k vistas,hace 1 año
🔹LA CIENCIA DE LA MEDITACIÓN: Mindfulness para la vida cotidiana / Mindful Science.,130 k vistas,hace 2 años
"🎧MEDITACIÓN DEL CORAZÓN: Gestiona tus EMOCIONES, REDUCE el ESTRÉS y MEJORA TU SALUD física y mental💙",130 k vistas,hace 1 año
¿Qué es el Mindfulness o Atención Plena? Los 3 Pilares | Mindful Science,123 k vistas,hace 2 años
🎧Meditación Guiada: AFIRMACIONES POSITIVAS para escuchar antes de dormir~Mindfuness~ Duerme Mejor~,123 k vistas,hace 8 meses
🎧Meditación Guiada para que COMENCES TU DÍA tranquilo y enfocado | body scan /Mindfulness,122 k vistas,hace 1 año
🎧COMIENZA EL DÍA EN ATENCIÓN PLENA-Meditación Guiada- MOTIVACIÓN- Mindful Science~Mindfulness~,122 k vistas,hace 5 meses
Meditación guiada MINDFULNESS: Cultivar la PACIENCIA | Mindful Science.,121 k vistas,hace 2 años
Meditación Guiada: Reduce tu ANSIEDAD y CONECTA CON EMOCIONES POSITIVAS | MINDFUL SCIENCE,120 k vistas,hace 2 años
🎧Meditación Guiada: AUTOESTIMA: aprende a SOLTAR las exigencias para VOLVER A CONFIAR EN TI~,119 k vistas,hace 1 año
Meditación guiada: Calma y paz interior ~ Afirmaciones positivas.,118 k vistas,hace 2 meses
"🎧Meditación Guiada: GRATITUD por lo que vendrá/CREA CONFIANZA-Conecta con un devenir amable, gentil🌞",116 k vistas,hace 1 año
🎧Mindfulness: Para superar dificultades y ALIVIAR LA ANSIEDAD~ Meditación Guiada~Mindful Science~,113 k vistas,hace 9 meses
🎧Meditación Guiada: MINDFULNESS para RELAJAR CUERPO Y MENTE ~Mindful Science~ #inspiraAotros,112 k vistas,hace 11 meses
🎧MEDITACIÓN GUIADA: RESPIRACIÓN CONSCIENTE /TOMADA DE NUESTRO PROGRAMA: PRESENCIA| MINDFUL SCIENCE,109 k vistas,hace 2 años
MEDITACIÓN GUIADA: REPROGRAMA TU MENTE | MINDFUL SCIENCE,109 k vistas,hace 2 años
🧘‍♀Ejercicio de RESPIRACIÓN para CALMAR la Ansiedad~Mindfulness: Atención enfocada en la Respiración,109 k vistas,hace 5 meses
🎧Meditación Guiada para Dejar ir y Cerrar Ciclos con dulzura y GRATITUD/ Mindful Science🔹,106 k vistas,hace 1 año
🎧Meditación Guiada: Reduce el ESTRÉS y alivia la ANSIEDAD- Céntrate en Ti- Suelta las EXIGENCIAS.,105 k vistas,hace 1 año
MEDITACIÓN GUIADA PARA COMENZAR TU DÍA CON ENERGÍA| AFIRMACIONES POSITIVAS| MINDFUL SCIENCE,103 k vistas,hace 2 años
NEUROPLASTICIDAD cerebral y MEDITACIÓN MINDFULNESS ~🎧 Mindful Science Podcast~,103 k vistas,hace 1 año
🎧Meditación Guiada: Ejercicio de RESPIRACIÓN CONSCIENTE para RELAJAR tu CUERPO Y MENTE~Mindfulness,103 k vistas,hace 4 meses
🎧Meditación: Independencia emocional y AMOR PROPIO | Mindful Science/ Mindfulness [Audio 8D],102 k vistas,hace 1 año
🎧Meditación Guiada: Aquieta Tu Mente- Observa tus Emociones-Vive en Paz- Mindful Science💙,101 k vistas,hace 11 meses
🎧Kindness: ENFÓCATE EN LO POSITIVO~Alivia la ansiedad y el estrés evocando AMABILIDAD Y COMPASIÓN,95 k vistas,hace 9 meses
🎧Mejora tu AUTOESTIMA con esta MEDITACIÓN GUIADA | Mindfulness para todos | Mindful Science,94 k vistas,hace 2 años
Meditación para comenzar el día: Despertar en Consciencia Plena~Mindfulness -Nayla Funes Voz-,93 k vistas,hace 4 meses
🌙PARA DORMIR: AQUIETA TU MENTE~Práctica avanzada~Mindful Science #inspiraAotros 😴,92 k vistas,hace 10 meses
🎧Meditación Guiada para Fortalecer tu Atención\Mindfulness en español\Mindful Science,91 k vistas,hace 1 año
APRENDE A LLEVAR UNA VIDA TRANQUILA | Mindfulness: Meditación Guiada | Nayla Funes [VOZ 8D],90 k vistas,hace 2 años
MINDFULNESS para comenzar el día con GRATITUD | MEDITACION GUIADA | Mindful Science ~Mindfulness~,93 k vistas,hace 4 semanas
LA MEJOR MEDITACIÓN GUIADA PARA TERMINAR EL AÑO: RESPIRA CONFIANZA | MINDFUL SCIENCE,89 k vistas,hace 2 años
La inteligencia del corazón 😍 Coherencia Cardíaca | MINDFUL SCIENCE,88 k vistas,hace 2 años
🎧RELAJACIÓN muscular PROFUNDA: Ejercicio para aliviar el estrés acumulado en tu cuerpo/Body Scan,88 k vistas,hace 1 año
"🎧Cerrar un ciclo, completar una etapa y despedir con Amor- Meditación Guiada- Mindful Science",87 k vistas,hace 1 año
🌞Meditación Guiada: Comienza el día con CONFIANZA y SEGURIDAD- Mindfulness y afirmaciones positivas,86 k vistas,hace 1 año
🎧Respira con el Corazón-Calma tu mente y aquieta tu corazón con esta Meditación Guiada| Mindfulness,85 k vistas,hace 2 años
Meditación GUIADA| Reto: 21 días por la Paz: Comparte tu luz| Mindful Science.,85 k vistas,hace 2 años
🎧LA MEJOR MEDITACIÓN para SUPERAR LA ANSIEDAD y ACEPTAR LOS CAMBIOS~LA MONTAÑA~Mindful Science,84 k vistas,hace 9 meses
MEDITACIÓN GUIADA: ACTIVA VOLUNTARIAMENTE ESTADOS DE BIENESTAR/ RECUERDA TU LUZ/ MINDFUL SCIENCE,82 k vistas,hace 2 años
🎧AQUIETA TU MENTE siguiendo esta Meditación Guiada/ATENCIÓN PLENA | Mindfulness | Mindful Science,81 k vistas,hace 1 año
DESPIERTA: MEDITACIÓN GUIADA para COMENZAR EL DÍA~Nayla Funes~Mindful Science~ Atención Plena~,81 k vistas,hace 1 año
MEDITACIÓN MINDFULNESS| EJERCICIO DE RESPIRACIÓN| MINDFUL SCIENCE,77 k vistas,hace 2 años
¡Apúntate! Y forma parte de la Comunidad de Meditadores más grande de habla hispana/ Mindful Science,76 k vistas,hace 2 años
🎧Meditación Guiada: reconectar para apreciar el momento presente ~Mindfulness,74 k vistas,hace 3 meses
🎧Meditación Guiada: Respira con tu Corazón -La afirmación más poderosa: YO SOY /Mindfulness/,74 k vistas,hace 1 año
🎧Meditación Guiada: GRATITUD por las pequeñas cosas~Mindfulness en español,71 k vistas,hace 1 año
🎧Meditación Guiada: Suelta el estrés: Caminata por el bosque/RELAJA TU MENTE/Mindfulness en español,70 k vistas,hace 1 año
🎧Meditación Guiada para REDUCIR LA ANSIEDAD Y EL ESTRÉS~ Emociones Positivas/Mindfulcoaching,69 k vistas,hace 9 meses
¡Apúntate! Y forma parte de la Comunidad de Meditadores más grande de habla hispana/ Mindful Science,69 k vistas,hace 2 años
🎧MEDITACIÓN GUIADA: EL ARTE DE DARSE CUENTA| MINDFULNESS| MINDFUL SCIENCE,69 k vistas,hace 2 años
BUENOS DESEOS PARA COMENZAR EL DÍA ~Mindfulness~ COMIENZA EL DÍA MEDITANDO,70 k vistas,hace 2 meses
🎧Meditación Guiada para AQUIETAR LA MENTE y volver al corazón/ Heartfulness en español-[AUDIO 8D],68 k vistas,hace 1 año
Meditación guiada para finalizar el día ~Body Scan~,68 k vistas,hace 1 mes
🎧Meditación MINDFULNESS para SALIR DEL ESTRÉS| Escáner corporal-Body scan| Mindful Science,67 k vistas,hace 2 años
🎧RELAJA TU MENTE prestando ATENCIÓN PLENA al MOMENTO PRESENTE/Reduce el ESTRÉS y vive más FELIZ😊,67 k vistas,hace 1 año
🎧Meditación Guiada para Aliviar la ANSIEDAD y Reducir el ESTRÉS/Caminata Consciente/Paseo Meditativo,64 k vistas,hace 1 año
🎧AFIRMACIONES POSITIVAS para COMENZAR EL DÍA~ Mindfulness~ Mindful Science~,64 k vistas,hace 8 meses
Meditación Guiada: RELAJA TU MENTE y enfoca tu atención en el CORAZÓN| Mindful Science [🎧8D],63 k vistas,hace 2 años
MEDITACIÓN GUIADA PARA SANAR Y CONECTAR CON TU NIÑO INTERIOR| ATENCIÓN PLENA| MINDFUL SCIENCE 8D,62 k vistas,hace 2 años
DESPIERTA el AMOR PROPIO para Comenzar Tu Día FELIZ Y MOTIVADO~ Nayla Funes ~ Mindful Science💫,61 k vistas,hace 1 año
Música para reducir la ansiedad y el estrés | Mindful Science,61 k vistas,hace 2 años
🎧RELAJA tu CUERPO prestando Atención Plena- Meditación Guiada: Body Scan-Mindful Science,61 k vistas,hace 2 años
🎧Música para MEDITAR: Duerme entre estrellas | Mindful Science.,61 k vistas,hace 2 años
¿Porqué no COMENZAR El DÍA cultivando la PACIENCIA Y LA DULZURA? | Nayla Funes ~ MINDFUL SCIENCE,61 k vistas,hace 2 años
Las bases biológicas de la REPROGRAMACIÓN MENTAL| Mindful Science,60 k vistas,hace 2 años
MEJORA TUS RELACIONES CON ESTA MEDITACIÓN GUIADA | MINDFULNESS | MINDFUL SCIENCE,60 k vistas,hace 2 años
Meditación Guiada: Respira el momento PRESENTE- Práctica Guiada de Mindfulness en español,59 k vistas,hace 1 año
🎧Podcast: MEJORA TU SALUD Meditando cada día [El impacto del ESTRÉS en nuestra MENTE y CUERPO],56 k vistas,hace 1 año
👉 CONSTRUYE UN FUTURO RADIANTE: Meditación Guiada para Cultivar una Mentalidad Positiva #mindfulness,55 k vistas,hace 7 meses
🎧Reduce tu Ansiedad y SUPERA LA INCERTIDUMBRE con este PODCAST MOTIVACIONAL/Mindful Science 🍃,54 k vistas,hace 1 año
🎧NEUROCIENCIA y MEDITACIÓN: CONOCE Y GESTIONA TUS EMOCIONES/Mindfulness🙂,54 k vistas,hace 1 año
🎧Meditación Guiada: REDUCE EL ESTRÉS~LUZ INTERIOR~ Body Scan/Escáner corporal/Mindful Science~,53 k vistas,hace 7 meses
🎧DUERME CON LLUVIA: MEDITACIÓN GUIADA/ Escáner corporal-Body Scan Mindfulness/ Mindful Science🌦,53 k vistas,hace 1 año
🎧ALIVIA el DOLOR y SANA VIEJAS HERIDAS con esta Meditación Guiada/Mindful Science/ Compasión [ASMR]🌸,53 k vistas,hace 1 año
Escáner Corporal -BODY SCAN COMPLETO- Suelta el ESTRÉS acumulado/Mindful Science🎧,52 k vistas,hace 2 años
VIVIR SIN ESTRÉS MEDITACION GUIADA | RELAJA LA MENTE Y EL CUERPO| MINDFUL SCIENCE [AUDIO 8D] 🎧,51 k vistas,hace 2 años
Ejercicio de RESPIRACIÓN/Alivia la ansiedad/ELIMINA el ESTRÉS/ Mejora la CONCENTRACIÓN y la ATENCIÓN,51 k vistas,hace 2 años
[TEST ONLINE] Cómo Mejorar La Comunicación Contigo Mismo/ Nayla Funes para Mindful Science,50 k vistas,hace 3 años
MEDITACIÓN GUIADA: ATENCIÓN ENFOCADA EN LA BONDAD | MINDFUL SCIENCE,50 k vistas,hace 2 años
🎧Activa TU MEJOR VERSIÓN~ MEDITACIÓN GUIADA~ AMABILIDAD/ KINDNESS - Mindful Science-,50 k vistas,hace 6 meses
🎧MEDITACIÓN-POEMA: SE LLAMA CALMA-DALAI LAMA [AUDIO 8D] VOZ: NAYLA FUNES PARA MINDFUL SCIENCE,49 k vistas,hace 2 años
GRATITUD para finalizar el día | MEDITACION GUIADA | Mindful Science,51 k vistas,hace 1 mes
COHERENCIA CARDÍACA: Meditación Guiada para REDUCIR EL ESTRÉS~Mindfulness en español~Mindful Science,48 k vistas,hace 7 meses
🎧Heartfulness: AGRADECE y ALIVIA EL ESTRÉS llevando tu Atención a la zona segura de tu corazón~,47 k vistas,hace 8 meses
🎧Meditación de AMOR y BONDAD para la COMPASIÓN y el BIENESTAR. Loving-kindness/ Mindfulness,47 k vistas,hace 1 año
MINDFULNESS: Reduce tu ESTRÉS con esta MEDITACIÓN GUIADA| La Mejor MEDITACIÓN para PRINCIPIANTES 🎧,46 k vistas,hace 2 años
Meditación para todos | Meditación simplificada,46 k vistas,hace 1 año
🎧TÚ PUEDES CAMBIAR TU CEREBRO cultivando EMOCIONES POSITIVAS- Elevación y Amor- Meditación Guiada/,45 k vistas,hace 1 año
🎧MEDITACIÓN GUIADA: DUERME MEJOR- CULTIVA LA PACIENCIA DENTRO DE TI- Mindfulness-Mindful Science,45 k vistas,hace 1 año
"🎧Healing Music: Equilibrio, calma y paz mental-Guitarra y Agua de Río/Artista: Leo Palacios",43 k vistas,hace 1 año
🎧¿Qué es el Mindfulness? ¿Qué es la Calma? | Sesión #1/ Podcast-Mindfulness| Mindful Science,43 k vistas,hace 2 años
🎧Meditación Guiada: BONDAD AMOROSA 💙/ Loving Kindness/ Mindfulness,42 k vistas,hace 1 año
🎧Meditación Guiada: SENDERO DE LUZ~ Relájate y entrégate a la experiencia~Mindful Science,39 k vistas,hace 11 meses
🎧AFIRMACIONES POSITIVAS~SOY AMOR~MEDITACIÓN GUIADA~ Mindful Science~ en la voz de Nayla Funes,37 k vistas,hace 11 meses
🎧Meditación Guiada: CALMA EN EL LAGO ~Relájate y entrégate a la experiencia~,37 k vistas,hace 10 meses
🎧Meditación Guiada: Relajación profunda/Automasaje para soltar el estrés acumulado/mindfulness,36 k vistas,hace 1 año
RELAJA TU CUERPO Y MENTE ~Desarrolla Empatía y Amor~🧘🏽‍♀️~Mindfulness~,35 k vistas,hace 2 meses
🎧Meditación Guiada: CREATIVIDAD y CALMA INTERIOR ~Mindfulness en español~,32 k vistas,hace 1 año
SENTIMIENTO DE CULPA ¿Cómo superarlo? -Podcast de MINDFUL SCIENCE -Se llama Calma- (Sesión #3),30 k vistas,hace 1 año
🎧RESILIENCIA: ¿Cómo superar la muerte de un ser querido? DUELO-MINDFULNESS,30 k vistas,hace 1 año
ESTÁS DESPERTANDO - 3 MINUTOS DE MOTIVACIÓN | Mindful Science,28 k vistas,hace 4 años
[Webinar] ¿Qué hacer cuando tenemos miedo? Caminar junto al miedo/ Tomi Cuirolo en Mindful Science 🙌,27 k vistas,hace 1 año
¿Qué es el Mindfulness? La mejor explicación para principiantes,27 k vistas,hace 1 año
🎧Meditación Guiada: COMIENZA EL DÍA activando el AMOR y la TERNURA~Mindful Science~Voz: Nayla Funes~,26 k vistas,hace 4 meses
MINDFULNESS: Gratitud para comenzar el día ~11MINUTOS~ MINDFUL SCIENCE,25 k vistas,hace 8 días
🎧LA MEJOR MEDITACIÓN PARA MEJORAR LA ATENCIÓN Y ALIVIAR LA ANSIEDAD Y EL ESTRÉS: 100% MINDFULNESS 💙,23 k vistas,hace 2 semanas
DESCUBRE LA MAGIA DE LA COHERENCIA CARDÍACA CON MINDFUL SCIENCE/ Mente y Corazón en Sintonía,21 k vistas,hace 6 meses
🎧Oda al Presente-Pablo Neruda en la voz de Mindful Science-Mindfulness,21 k vistas,hace 1 año
🎧Beautiful Relaxing Music for Meditation-Música para Meditar y relajarse/ Mindful Science😊,19 k vistas,hace 1 año
🎧Meditación guiada: BodyScan para terminar el día completamente relajad@,19 k vistas,hace 3 meses
📿Mindfulness: Ciencia y Tradición: Las 3 Dimensiones de la práctica/clase completa- Miguel Ibáñez R.,18 k vistas,hace 1 año
MINDFULNESS para SOLTAR EL DOLOR | Encuentra la LIBERACIÓN EMOCIONAL que tanto deseas| Meditación,17 k vistas,hace 3 semanas
🎧Pablo Neruda: Oda al hombre sencillo/ Mindful Science,17 k vistas,hace 1 año
🎧Podcast: Una HISTORIA de RESILIENCIA y de AMOR💙Estefanía INSPIRA A OTROS en Mindful Science💙,16 k vistas,hace 1 año
Poema para el alma: ELOGIO AL AIRE de PABLO NERUDA en la VOZ DE MINDFUL SCIENCE_ODA AL AIRE,16 k vistas,hace 1 año
DESARROLLO PERSONAL EN TIEMPOS DE ESTRÉS: Estrategias Poderosas para Fortalecer tu Bienestar/Podcast,15 k vistas,hace 6 meses
Mindfulness y PENSAMIENTO CRÍTICO~Mindful Science/Mindfulness en español~Texto de Jaime Barylko~,15 k vistas,hace 1 año
ERIC KNOUSE FUNDADOR DE MINDFUL SCIENCE | Vídeo Institucional 🔹Mindfulness🔹#inspiraaotros,14 k vistas,hace 1 año
